,TCGA-A7-A13D-01A-13R-A12P-07,TCGA-E9-A1RH-11A-34R-A169-07
UBE2T,1286,80
PPP1R12B,1697,8705
DNAJC10,8656,6302
GTF3C1,6056,4126
IL4R,3045,1824
USP33,3111,6809
PAK3,490,480
CAPN6,1783,1090
DCX,11,49
SPAG6,5,2
EXOSC5,2494,480
DYNC1I2,5202,6565
APBB1IP,314,3283
LRCH4,397,242
FAM76B,406,921
SIRT6,683,320
TYR,1,0
POLD3,884,1183
ACTN2,21,30
CAPZB,16167,10984
GPR137B,922,1244
NAALAD2,29,1667
JADE1,839,3689
SLC25A43,1591,1228
UBE2A,4191,3524
FGFR1,2863,19086
FKBP6,7,0
SMC1B,107,6
FBLN1,19652,48536
ITGA8,211,459
CST7,205,156
MAP2,2050,1083
AMPH,58,697
ARAF,4296,3660
MCCC1,1380,5041
LAMP3,404,111
FAP,1671,1583
NEBL,11629,2319
ACER3,638,7340
UBE2K,3740,4580
PIK3C3,1249,2733
N4BP2,343,815
TIGAR,419,268
TULP3,2019,1847
SYNJ2,3770,1285
ADCY2,149,432
PPP2R5C,5119,7385
RBFOX1,1,2
GNB1,32629,22572
HOXA9,37,438
EDN1,428,523
MLLT10,3814,1865
ZCWPW1,331,589
ADCYAP1R1,82,2158
FGF20,0,2
P2RY10,11,48
ITM2A,78,6905
VDAC3,3755,4717
PCM1,4189,10039
TNRC6C,1282,2140
CBFA2T2,4209,1506
BRINP1,3,80
ITCH,4108,4676
PKD2L2,5,11
TP53INP2,2424,1940
SDF4,9505,5837
MYH7B,55,142
BPIFB2,0,793
TP73,164,54
TOLLIP,3094,3540
UBE2D4,995,1322
CLUL1,76,18
RUNX1T1,106,2505
CDH17,12,7
THOC1,1377,1089
FKBP7,914,1414
OSBPL6,978,346
SLC1A3,1058,7362
XRCC5,18545,15939
LXN,1647,739
SP140,78,69
MKNK1,1603,1786
TNS1,11849,188102
REXO1,2010,788
SAR1A,9091,16156
CDC14A,407,477
RAPGEF3,361,3811
CEACAM1,10089,709
SENP1,1378,1123
DUSP13,1,1
CIC,6655,3266
LIPE,139,57449
FDFT1,3340,7859
PAFAH1B3,3621,134
OPHN1,1159,1524
AFM,0,0
KIF22,2469,593
SCGN,7,46
PGM1,10026,12344
DDX1,12374,8389
DNM2,6397,4789
EPB41L2,5883,18899
RIMS1,39,32
MOXD1,204,189
RABL2B,815,770
KEAP1,3373,2888
DDX43,397,53
PTPRH,400,104
DCT,3,152
SLC35C2,5197,1930
CRYBG3,2085,5529
EPHA6,11,31
SCTR,2,166
RFX3,555,792
RIF1,5140,4602
RAB21,2180,5487
SMARCA2,10846,15453
RDH8,0,4
SESN1,413,3158
MID2,929,3405
COL5A3,2431,2337
SRCAP,159,166
CHRNA3,3,83
KCNN2,62,25
CNOT4,2775,1938
PSEN1,4001,4779
CPOX,778,694
CLDND1,2104,3100
MOK,700,474
RBL1,1316,556
DLGAP4,9587,3210
IGSF9B,2,565
CFHR2,1,0
NDC80,2117,51
AP4E1,724,906
RSBN1,1207,1967
MAGI3,1924,1297
AFP,1,28
COL4A4,242,119
TCF7,590,606
OSTM1,981,3489
CDH7,2,1
IMPG2,12,14
EXD2,1438,2143
ARG2,141,105
MEF2C,1611,4134
PTPRC,356,1719
CACNA1S,2,1
PKP1,4881,1082
UBA5,2105,2467
STK17B,2796,1753
CDC14B,1003,3572
ZNF510,454,1369
LRP2,3393,381
ZNF506,553,1269
JMJD4,639,163
DUSP12,1384,575
AACS,3127,5427
SLC13A1,0,0
CADPS2,3790,2247
PCDHB4,114,521
PCDHA6,3,23
PCDHGA2,86,277
PHLPP1,1724,1560
ATP8B1,2061,1473
SMARCD3,949,1111
WDR70,3094,1374
MPP4,10,1
STRADB,1153,3403
BZW1,7272,7332
PGR,297,1341
C1QTNF3,470,388
ME2,2795,1911
C5orf22,2774,1227
CCNT2,1796,2475
FAM135A,874,796
COL19A1,1,2
EPB41L3,228,3884
COBLL1,1649,11176
DLG3,3990,844
KCNK2,268,514
SERTAD4,1235,2266
TRAF5,1153,845
MRPL22,1066,1009
GEMIN5,1958,2258
OPRK1,162,146
SEMA5B,76,83
GSK3B,7196,4494
ITGB5,15122,15668
ERC1,3326,5756
XPO1,11475,8430
TRPM3,6,55
PALB2,593,666
LYRM2,1233,1603
BCKDHB,690,3296
KAT6A,2677,5352
GRHL2,3056,617
TNPO1,4923,8228
PLOD1,26908,6959
P2RX5,101,6
ITGAE,1325,797
DIS3,2512,3951
PIBF1,737,1016
TDRD3,1053,1636
NUFIP1,537,384
PDS5B,2084,3113
OXCT1,3503,9622
RRAGB,561,1092
CYLD,2485,3445
SLC27A5,584,201
ZNF324,677,336
ZNF671,73,319
ZNF416,479,307
ZNF586,678,501
ZNF446,258,139
ZNF264,3248,2041
RPS5,33882,21010
FAT1,24608,15226
YTHDC1,3488,4855
CHMP2B,2482,3171
SMAP2,2128,2396
PPIE,2773,2542
ZMPSTE24,4619,4334
STARD7,12340,8204
NOA1,1085,1397
REST,2511,2336
SSH1,2584,3062
GSTP1,10048,11060
APLP2,27730,38544
SLCO1A2,5,21
WBP11,10278,4720
EIF3I,16210,8578
COL16A1,9770,4466
TXLNA,8278,4181
APOB,6,2504
NCOA1,2617,6003
AGBL5,1611,1568
EFR3B,4944,110
KIF3C,3714,817
RAB10,11784,8836
GCKR,3,6
HADHA,17712,27384
MAPRE3,1140,1341
CAD,10972,2488
CD59,19016,27248
CD82,4084,1430
BCORL1,1842,1198
ATRX,5234,8218
AK6,407,786
FCN1,55,271
MYNN,778,916
MECOM,820,1987
SCAMP1,2068,3555
PREP,3699,2392
HACE1,426,1087
SEH1L,3982,1628
WDR47,1577,1250
WDFY1,1999,2645
OVGP1,68,86
SLC25A24,3132,3178
MAP3K4,1400,2181
PILRA,232,208
IGSF9,5954,126
ABCB1,12,955
ZNF213,2346,758
AKR1B1,2303,2854
CPNE3,9220,11686
RRN3,6377,3521
CTTN,11351,9607
WNT11,1439,1460
MTIF2,2591,2258
DDHD2,2042,6496
EPS15,3542,8211
ORC1,957,38
MGST2,760,1970
CHERP,3887,923
ATG16L1,1835,1416
USP40,2317,2877
POMGNT1,6178,2971
RAD54L,687,28
MAST2,6749,2488
DNAJA1,10314,8089
B4GALT1,13403,6866
CHMP5,2711,4284
NFX1,2253,3382
DIMT1,341,558
IPO11,1152,1710
FOLH1,282,293
EIF2AK1,19379,6677
NME8,2,14
EPDR1,797,2751
SNX10,495,2635
SEPHS1,9020,2911
MRPL28,2273,1556
HBQ1,0,1
ITPKC,4252,1421
CEACAM6,1140,20
FAT2,546,780
RBM22,2272,2510
TMED2,22215,14239
HSD17B2,20,32
TXLNG,2150,2797
PPEF1,166,10
LAT2,268,246
HUWE1,40272,20114
ZW10,1375,1246
MYBPC2,29,4
NOX4,922,1238
ACOX3,1846,1124
MTMR2,3215,2777
PPP1R15A,7817,2075
HSD17B14,1314,312
TRIP6,5892,2256
ACHE,106,56
FTL,152768,189962
SRRT,8450,2495
BAX,4410,687
NLK,1050,895
PIGS,3198,4880
ADAMTS2,4638,4746
TMPRSS11E,40,5
ATXN7L3,4554,2154
PGS1,2366,868
PSMC5,8121,4481
UIMC1,2186,1245
CETP,106,864
MMP2,22774,53750
MT3,45,1
LPCAT2,2105,1856
GNAO1,31,207
OGFOD1,1974,1786
SH3BP2,2518,3011
NOP14,1725,1317
ADD1,8776,21380
L2HGDH,510,821
TXNDC16,600,1618
NID2,2345,2293
GMCL1,1537,2069
SF3B2,15461,12806
KLHL42,1652,1838
GNAS,226949,57263
DNM1L,4771,4158
PTHLH,773,66
PHACTR3,12,10
ERGIC2,1918,2456
TFAP2C,3349,921
AURKA,2998,119
CASS4,34,64
PIR,670,1480
AAMDC,304,711
RFX2,324,743
METTL2A,1653,974
SULT2B1,794,74
CNOT3,5320,1368
GP6,47,3
PTPN4,1176,3003
DDX18,8460,4442
KHSRP,7996,5381
GNA11,2584,2710
ASAP3,5192,2768
EDEM2,2180,1162
DNMT3B,1624,105
REM1,142,130
TPX2,10579,252
PDRG1,2067,670
EPB41L1,8389,7403
DOCK9,4786,6872
ANKRD10,3370,3992
TGDS,490,855
DOCK3,2039,78
C3orf18,326,790
COQ9,1478,2061
TMEM40,249,104
KIF9,343,183
ARHGAP28,480,767
CRLS1,41,117
DEFB127,0,0
PPP1R13B,1516,1438
ATRN,8063,5858
SMOX,1570,183
SIGLEC1,939,2991
FKBP1A,19341,10041
NSFL1C,6325,4063
SLC4A11,945,200
ZNF343,990,683
EBF4,290,278
CPXM1,759,897
MAVS,9325,10719
LZTS3,3461,528
F11,0,0
XRN2,8952,5288
KIZ,705,1336
DYNLL1,13279,7517
TESC,49,179
SNX5,4057,8326
RPL6,21718,34878
SIRPG,5,21
MAPKAPK5,1775,1419
P2RX7,100,177
ESF1,1729,1322
RBBP9,2127,1687
ANAPC5,5616,5651
SLC23A2,2238,3116
SLC8B1,1363,2257
DZANK1,355,288
KDM2B,1610,750
CFAP61,12,20
LHX5,0,0
TASP1,641,498
OAS1,2790,1227
RPLP0,59961,47490
PXN,2799,3113
SIRT4,61,81
KIF16B,1974,2395
TRMT6,2465,631
CHGB,2,14
PEBP1,14598,22675
TBX5,93,457
BRAP,1196,1993
ERP29,8510,4802
NOS1,3,13
FUS,15699,5696
IGBP1,1829,3524
FXYD5,23483,3297
ZNF302,1606,2368
GRAMD1A,7937,1724
FXYD3,120,20
HEPH,5476,1087
CDIP1,1238,1679
CMTM1,23,32
KCNH4,12,23
GANAB,34862,22021
GMIP,1101,470
RBM41,728,693
BIRC5,5436,84
MLF2,14183,6106
OTUB2,183,86
DDX24,6869,11014
ZBTB25,272,889
NECAP1,948,1428
ARHGAP4,361,593
ANKRD24,22,124
DHX32,3134,1418
RCOR1,2038,2393
GPATCH2L,1554,2555
LTBP4,2955,16529
BLVRB,4457,3396
SLC9A1,4054,2380
SPTLC1,3111,5228
PAPOLA,8193,8943
CCNK,366,330
PCBP4,4338,1053
RGS1,1039,109
YPEL3,727,2652
MRPS33,2459,2062
NDUFB2,3979,1925
NUDC,6970,3948
MAEA,2657,2350
ICAM1,9069,1147
STRN4,10666,2732
IRAK3,131,2712
LYZ,804,1317
SI,0,0
MUL1,1739,1972
TFAP4,1568,487
PDCD7,777,1481
SPG21,5108,4429
FETUB,2,0
DNAJB11,2689,935
P3H2,1274,849
THPO,30,88
CHRD,366,717
FLT3LG,4,5
RAB11FIP3,1277,1818
ZNF268,898,1627
GOLGA3,5881,5360
PABPC4,13832,6979
CD209,22,1534
CERS4,1892,1197
MCOLN1,918,1357
USP48,4677,4162
EFNB1,1780,3456
PDPR,1560,2326
GLG1,11309,17787
KIF4A,3503,55
TNRC6A,2177,5138
PLEKHG2,1708,1413
NAT14,1060,128
PITPNM2,1017,879
EXOC1,1069,2166
RBM27,1031,1300
POU4F3,4,2
OSBPL8,3152,7867
DTX2,977,519
NLRC4,133,158
PUS7,3885,584
LAMB4,87,13
NRCAM,203,132
LAMB1,18491,19026
SLC26A4,21,137
SLC26A3,3,13
DLD,5901,10561
WDR7,730,2017
TXNL1,3385,4084
IL5RA,1,25
ABCC6,72,1394
CMTM6,5269,3951
ITGA6,8658,10283
RAPGEF4,228,1200
SMPX,7,1
SEL1L3,2744,1466
TF,10387,10025
CDV3,13163,14505
MYO15A,38,40
ALKBH5,6116,5628
APOH,0,0
NLRP1,572,2450
PITPNM3,1829,334
SPAG7,1699,1946
ORC6,690,42
ZFHX4,472,3711
SLC17A6,0,1
CPA1,0,257
ZC3HC1,1107,790
ESR1,180,6426
RGS17,40,298
ANGPT2,1987,822
TMEM101,1329,1307
CD200,360,1212
CCDC80,6341,93091
CMA1,1,627
PSME1,5088,6411
PPP2R3C,602,824
HAUS4,213,639
JPH4,3,74
MYH7,0,0
CEBPE,12,2
OSGEP,1093,1222
SCFD1,2808,3178
G2E3,1068,954
HECTD1,6889,13614
HNRNPC,21347,16033
RPGRIP1,27,50
SUPT16H,8795,8246
TOX4,2800,4513
GEMIN2,449,412
TGM1,70,29
TINF2,1601,3180
DAZL,0,1
TBL1Y,0,0
SEMA6A,269,1982
TRPM7,1445,3928
TYRO3,1306,6950
WDR76,370,327
CAPN3,24,212
SNAP23,415,736
TBX15,408,3550
PHGDH,18194,6046
COL9A3,205,46
EZR,13196,3237
MYL6,24984,32484
AGO1,2724,3456
TEKT2,8,9
CLSPN,2104,61
UNC13D,22474,385
MFSD11,953,1298
DPYSL2,2851,16636
TGFB2,758,1452
GPATCH2,865,774
NUP50,3843,2825
CDC45,1056,32
COMT,4517,2963
ECHDC1,1468,7971
LRRFIP2,2616,2489
SEC22C,1746,3570
XYLB,623,280
HDAC6,2842,2867
OR1I1,0,0
GABRP,49381,3483
KRT31,6,0
CDC6,2186,133
UPRT,775,586
CDC23,1625,1844
CBX5,4188,7810
FMO2,131,18782
SUCO,2912,2830
MSH2,4972,1242
MAP3K1,1890,2527
DHPS,41,54
HOOK2,1609,4650
NXPE1,0,0
ARCN1,11039,11521
EPB41L4B,2111,8766
TMEM38B,471,528
PSMD5,2104,2776
PTGS1,890,1694
NUP188,3807,2793
CRAT,1081,4328
SH2D3C,726,1570
NANS,2056,940
TBC1D2,1086,426
PDE6C,13,34
CWF19L1,934,1075
SEMA4G,216,156
BTAF1,1721,3113
IKZF5,966,1785
BLNK,373,229
TLL2,153,15
CYP26A1,8,0
TDRD1,4,70
SORBS1,2854,88384
CRTAC1,62,188
BAMBI,7383,494
IL11,283,3
MYO3A,21,14
WAC,15690,11012
CREM,1513,829
NUBP2,2235,1151
TPSD1,3,82
SMIM24,20,2
HIVEP1,2296,1716
TREM2,143,223
KCNK16,0,0
CRISP3,36,3
FKBP5,1973,27037
SRPK1,2932,892
BRPF3,2353,2720
MRPS18A,494,447
PGC,2,2
EFHC1,374,1070
HSP90AB1,73457,56829
MLN,0,0
CDC5L,2565,3289
ITPR3,2997,1660
ZNF184,419,389
DSP,81956,10049
SIRT1,1917,2767
HNRNPH3,5484,6020
IFT74,488,813
JAK2,495,3121
ABL1,5456,7214
ACOT7,2822,477
SH3GLB1,8379,18123
CDC7,1077,144
SYDE2,333,439
PCSK5,474,3608
SCD,27743,527617
TMED1,251,260
ABLIM1,14890,26090
RAB18,7775,5936
NRP1,6204,18339
PRTFDC1,1851,473
PALMD,1007,14628
TSPAN15,3930,4311
MAST3,404,1168
MZF1,565,528
OCEL1,403,934
MYO9B,4608,2852
KCNK6,1958,553
CATSPERG,169,97
PSMD8,17147,7974
FBXL19,1396,274
STX1B,69,225
HSD3B7,748,1074
SETD1A,1765,1628
BCL7C,921,693
MAGEB2,0,0
EFNA2,67,0
CIRBP,3296,15139
PCDH11Y,0,0
IGFALS,25,3
HNRNPM,15693,7996
NDUFB7,2362,2716
TECR,3569,5990
TIMM13,2978,1099
CDC34,2503,1448
MTAP,1997,1828
MISP,1087,20
CEP170B,3671,2177
POLR2E,5863,10171
POLRMT,1950,1280
HCN2,16,12
CDHR5,4,7
IZUMO4,41,158
RASSF7,2062,143
GADD45B,3099,1430
PALM,495,8321
MADCAM1,4,14
MKNK2,9069,11490
ARVCF,844,374
RANBP1,4602,1662
KLHL22,906,1355
MED15,6165,3559
SERPIND1,4,61
SNAP29,1425,2465
CRKL,5049,4941
LZTR1,630,754
MMP11,18889,240
CECR2,41,275
SMARCB1,4188,2105
P2RX6,1,64
SLC7A4,0,140
BCL2L13,2858,6960
DDTL,84,54
DDT,0,0
GSTT2,2,5
OSM,121,15
CABIN1,4993,2831
SUSD2,4570,969
SF3A1,8820,7628
GGT5,1117,2491
RNF215,449,511
SEC14L2,992,648
SEC14L3,1,0
PPIL2,1741,1446
UPB1,25,23
YPEL1,217,219
SNRPD3,3576,1897
PES1,6546,2156
MAPK1,6636,9002
GGT1,157,5
PRODH,149,157
SLC35E4,278,161
TOP3B,4,4
CRYBB3,31,5
CYTH4,295,889
MFNG,185,1348
CARD10,1034,1152
LRP5L,227,115
SLC25A1,4761,7612
PLA2G3,1,3
LGALS2,70,29
GGA1,3654,1581
HIRA,583,488
SH3BP1,551,72
SEZ6L,0,21
LGALS1,35089,35993
PIK3IP1,1088,5557
SRRD,527,725
PATZ1,1608,2326
TRIOBP,3393,5169
TFIP11,1394,1359
GGTLC2,9,0
CRYBB1,12,25
ANKRD54,2694,728
EIF3L,9653,12940
MICALL1,12009,1339
POLR2F,7619,1135
SOX10,12337,1054
CCDC134,907,410
DEPDC5,457,414
PICK1,2289,555
TTC28,507,4006
SLC16A8,48,22
CENPM,980,14
SEPTIN3,3127,125
SLC5A1,919,336
SLC5A4,6,19
KDELR3,5165,1540
CYP2D6,42,80
DDX17,18568,29763
DMC1,21,51
TCF20,7268,2309
HSCB,444,417
CBY1,880,1162
TOMM22,4669,3515
RSPH14,10,8
XBP1,11552,18743
RTCB,6511,4528
JOSD1,4188,3207
FBXO7,4340,6324
GTPBP1,3721,2430
POLDIP3,5875,5125
RAB36,347,264
TIMP3,93079,148907
PPP6R2,3693,2570
SBF1,4874,4182
SUN2,6964,7678
CYB5R3,10587,27336
DNAL4,2018,625
C22orf31,0,9
MIOX,15,0
LMF2,4316,3487
RHBDD3,1557,469
PACSIN2,2445,3499
TTLL1,380,386
RASL10A,29,42
AP1B1,18117,5226
HMGXB4,1880,1800
NEFH,908,67
CHKB,17,5
BIK,344,43
HMOX1,2605,1760
MCAT,1094,641
THOC5,3770,1710
MCM5,4805,1362
APOBEC3H,8,9
ARSA,2375,2174
TSPO,9127,5269
RASD2,5218,359
TTLL12,5524,2009
CBX7,580,3955
PDGFB,11660,2146
ACR,16,17
CABP7,13,3
RPL3,68148,84087
ZMAT5,876,419
RBFOX2,7566,9184
SYNGR1,1183,1169
TAB1,1786,1322
ASCC2,5943,3745
MTMR3,321,761
MIEF1,2896,4104
APOL4,345,3402
PNPLA5,2,0
APOL1,1734,4065
MYH9,156319,64433
CACNA1I,127,7
SAMM50,2567,4089
TXN2,3526,4396
FOXRED2,2167,1633
GRAP2,60,127
EIF3D,14066,10467
TNRC6B,1976,3078
SGSM3,44,11
IFT27,884,631
PVALB,0,4
KIAA0930,6458,5099
NCF4,118,583
CSF2RB,300,974
SLC25A17,1625,989
UPK3A,76,13
FAM118A,1006,642
KCTD17,1081,240
ST13,10794,24143
IL2RB,154,389
RBX1,3545,2119
EP300,5811,6983
L3MBTL2,1896,1280
CHADL,62,158
RANGAP1,12697,2840
ZC3H7B,7717,7757
PHF5A,1951,1043
POLR3H,1473,982
TRMU,1720,651
PMM1,1016,2084
DESI1,3098,2225
CERK,2865,3010
BRD1,2830,1934
ZBED4,3617,839
MLC1,9,25
HDAC10,18,15
KCNK10,0,1
ABHD4,2013,2542
KHNYN,2875,3172
FKBP3,1161,1492
SDR39U1,59,114
CTSG,9,887
GZMH,5,84
GZMB,31,57
RBM23,3320,2684
PRMT5,1026,945
COCH,3,73
AP4S1,169,606
POLE2,359,80
VCPKMT,267,213
SOS2,2229,4334
CDKL1,191,353
NIN,3133,3599
TRIM9,209,177
PSMC6,2543,3109
GNPNAT1,997,647
DDHD1,742,1519
CDKN3,622,44
CNIH1,2829,6403
CGRRF1,245,798
ATP6V1D,2148,3685
PLEK2,386,37
LRRC74A,2,5
PSMA3,3447,3414
VTI1B,1286,6127
TIMM9,762,1115
GSTZ1,766,1211
KIAA0586,736,1061
TMED8,1486,2462
SAMD15,47,39
AHSA1,5941,3273
DAAM1,2630,4059
SPTLC2,3892,5841
RIN3,1152,922
LGMN,5074,16586
ALKBH1,459,501
SNW1,2656,2926
CHGA,1,3
ITPK1,2926,11008
DHRS7,2301,2624
PPM1A,2362,7595
SIX4,1444,302
GALNT16,181,3868
ASB2,16,50
CEP128,413,303
ERH,4258,2997
HIF1A,6977,4188
SUSD6,3283,3038
SRSF5,3513,9910
SLC10A1,2,8
EIF5,4304,18357
SERPINA4,5,0
SLC8A3,3,55
DICER1,2384,6815
ZFYVE21,828,2261
MTHFD1,2828,11155
TCL1A,0,3
ZC3H14,1482,2923
TELO2,1863,1064
BDKRB1,40,15
GSKIP,687,796
VRK1,1075,536
PSMC1,733,1131
PAPLN,240,1154
RPS6KA5,405,750
C14orf93,219,431
PSMB5,7266,4470
YY1,5485,7599
ACIN1,7412,6198
CCNB1IP1,1440,1376
TRIP11,2037,4453
APEX1,6141,5438
PABPN1,310,407
EFS,1806,1137
ARHGAP5,2383,3512
CINP,826,1523
DHRS2,41,91
SRP54,3342,2383
CPNE6,1,0
CHD8,4629,4563
PCK2,1437,4160
DCAF11,3185,3332
PSMA6,213,114
NFKBIA,7279,3426
EMC9,479,223
PSME2,4188,2541
BRMS1L,408,616
REC8,149,132
SEC23A,3482,7719
GMPR2,1639,2989
PNN,4274,3900
RABGGTA,913,926
NFATC4,678,1858
PLTP,22712,14414
PCIF1,2458,2236
GSS,3193,1854
MMP9,10292,162
VSX1,1,1
TRPC4AP,7909,6671
PYGB,13683,14572
ABHD12,5307,2508
PROCR,308,1689
GINS1,1838,106
NINL,1168,401
CD40,351,1476
UQCC1,1697,2392
ZMYND8,3414,2237
SGK2,84,1463
IFT52,1888,2033
MYBL2,11915,107
HNF4A,1,1
NDRG3,4726,2409
SLA2,20,35
NFATC2,933,1926
RIMS4,1313,168
PABPC1L,1306,235
STK4,2565,2744
SALL4,233,19
ADNP,11970,6683
DOK5,1147,183
CSTF1,2490,1421
BMP7,1583,226
RAE1,3205,1467
TPD52L2,13382,7708
DNAJC5,10462,4401
NELFCD,17269,3457
CTSZ,29329,11465
PRPF6,8589,6117
TUBB1,22,12
HRH3,2,0
MTG2,3620,1135
PSMA7,25385,6938
SLCO4A1,860,293
NTSR1,42,3
MRGBP,2092,395
TCFL5,1350,1013
DIDO1,4837,3786
GID8,6912,3618
BIRC7,15,2
NKAIN4,8,7
ARFGAP1,8901,1741
AVP,0,1
COL20A1,7,1
CHRNA4,3,4
EEF1A2,23182,65
GMEB2,3054,758
SPEF1,7,5
CDC25B,5891,1550
ISM1,356,2359
ARFRP1,3361,1455
NDUFAF5,657,620
SEL1L2,2,10
TRIB3,3814,292
RASSF2,1458,2126
CSNK2A1,10510,5821
SLC52A3,1508,247
ANGPT4,21,391
RSPO4,1311,8
HM13,15783,4558
SNPH,256,315
MYLK2,70,1
SEC23B,6189,2420
FERMT1,4364,167
HAO1,12,0
PDYN,0,1
CCM2L,54,489
PLCB4,2197,1165
MYL9,28582,31514
HCK,631,673
TM9SF4,13222,4664
TLDC2,15,23
CRNKL1,2501,2264
POFUT1,9149,5272
SAMHD1,3308,8882
KIF3B,7599,5379
MROH8,34,285
NOP56,9434,3079
MANBAL,3921,3139
IDH3B,5460,4155
MAPRE1,15840,6704
JAG1,5004,8803
CDK5RAP1,2046,1048
SNTA1,2064,3610
OXT,1,5
TTI1,2378,1014
E2F1,3625,138
RPRD1B,2285,2272
CHMP4B,16958,6450
BPI,29,8
CST9L,0,0
SLC32A1,0,1
CST3,10815,23535
CST4,4,0
ACTR5,679,400
WFDC2,1843,229
AHCY,12776,3605
PPP1R16B,170,2667
SPINT3,0,0
FAM83D,2968,44
EPPIN,0,0
DHX35,976,672
DNTTIP1,2492,716
MAP1LC3A,975,1112
SYNDIG1,581,147
PIGU,1893,909
TNNC2,104,61
ACOT8,1063,573
APMAP,12195,17254
CELF4,231,37
ZNF516,1159,1089
CDH20,0,412
ADNP2,2141,1453
RBFA,415,746
USP14,5454,6192
VAPA,7448,7879
METTL4,738,625
LPIN2,3303,2660
SMCHD1,4403,4186
MYOM1,118,3903
CEP76,446,315
ST8SIA5,35,11
CEP192,2132,1468
RNMT,3803,2331
SMAD7,1961,2708
LIPG,292,50
LAMA1,509,218
RNF125,187,1900
ANKRD12,1633,4214
NOL4,13,9
POLI,538,3410
MIB1,2771,4850
RBBP8,1738,2384
RIOK3,4082,4474
CSTF2,1558,530
MXRA5,27598,7501
VSIG1,101,5
PSMD10,2789,2059
ATG4A,735,959
STS,615,5567
TBL1X,2212,3254
GPR143,171,21
PGRMC1,9998,11757
POLA1,2062,1249
MID1,7531,1445
NKAP,1613,1043
RHOXF1,5,41
NXT2,865,941
GUCY2F,1,0
ATP1B4,0,1
ALG13,835,1474
PRPS2,3429,1481
TLR8,15,221
MOSPD1,847,484
AMMECR1,2068,567
CHRDL1,774,34005
WDR13,4045,3946
SUV39H1,1434,378
PAGE4,0,0
SRPX,1147,9822
GLRA2,2,0
XIAP,3387,3852
STAG2,5847,8999
ATP11C,2282,2465
MCF2,17,18
F9,0,0
ABCD1,1569,2124
CACNA1F,9,27
SYP,81,108
PLP2,4973,2060
BMX,11,502
LUZP4,1,0
PLS3,15256,18354
NAA10,1495,461
RENBP,219,650
ELF4,3484,1335
SMARCA1,939,4520
MTMR8,92,49
ASB9,355,255
ZC3H12B,143,199
RBBP7,8507,5131
KCND1,163,220
OPN1LW,0,0
SLC25A14,441,281
FMR1,1577,2943
PIM2,821,606
SCML2,302,140
SLC35A2,6899,751
PQBP1,3656,1372
RS1,0,0
PCSK1N,1178,4
EMD,4793,2276
RAB40AL,0,0
PGK1,97137,16404
GATA1,2,5
MAGT1,7846,5764
SMS,14307,2734
PHEX,112,334
UBL4A,3942,2442
CD99L2,1608,9049
EEA1,999,4820
RP2,864,1037
JADE3,3381,783
CDK16,11734,4982
USP11,2896,3571
PCYT1B,53,20
BRS3,0,5
HTATSF1,6128,5814
VGLL1,4517,28
CD40LG,1,33
TIMP1,24720,5495
KLHL4,40,172
PCDH11X,3,19
FGD1,664,243
PIN4,1360,820
PORCN,933,451
ITIH6,33,46
MAGED2,15906,9082
RBM3,16677,11847
KLF8,1411,2476
SRPX2,1213,2819
SYTL4,353,566
CENPI,827,75
DRP2,187,23
TAF7L,44,3
PBDC1,1856,1009
GLA,1389,989
ARMCX3,4829,5563
BEX4,1308,1952
FGF14,82,172
HTR2A,22,36
NDFIP2,1140,1644
TNFSF13B,270,382
FNDC3A,2254,5496
MLNR,2,3
CDADC1,260,901
CAB39L,1265,4285
KLF5,3765,707
STK24,3464,4025
ACP5,1298,1070
DNAJC3,3975,5713
UGGT2,1339,1516
ARHGEF7,3932,5937
FGF9,11,111
SGCG,8,1069
PARP4,3622,4953
SUPT20H,2140,1724
MRPS31,471,898
SLC25A15,853,330
KPNA3,3366,4073
RGCC,1500,4180
VWA8,1094,3777
DGKH,1080,1083
KATNAL1,818,2801
INTS6,1663,2110
DHRS12,99,467
MEDAG,190,2930
TSC22D1,7565,11179
CLN5,207,526
OLFM4,136,547
MSLN,756,10
MGRN1,3392,2574
ZNF629,1564,1569
TRADD,1745,727
HSF4,439,472
CORO1A,421,709
MAPK3,2521,5789
GDPD3,35,87
ELMO3,3150,200
MT4,0,0
PHKB,2714,7165
LYRM1,941,3388
NUTF2,5894,2769
NUP93,4552,1460
CENPT,669,683
TSNAXIP1,17,39
NFAT5,1793,4496
LONP2,3439,6785
N4BP1,2820,3571
CBLN1,61,66
ARL2BP,8,7
PLLP,163,384
ZNF423,220,2129
CCL22,14,42
DHODH,501,911
CCL17,16,5
CTCF,3194,3333
ACD,698,531
POLR2C,3291,3283
PARD6A,89,123
ZNF821,122,96
MMP15,1645,1977
USB1,4031,2017
CYB5B,2693,5457
CCDC113,459,393
PRSS54,1,1
NME3,922,962
NDRG4,561,625
PSMD7,1444,1390
SETD6,727,631
SLC38A7,1269,1020
VAC14,2418,1932
HAS3,183,1403
TANGO6,675,848
COG4,2964,3424
SMPD3,31,155
SLC7A6OS,209,302
SLC7A6,439,1445
PLA2G15,935,1082
ESRP2,2999,354
FA2H,69,24
WDR59,1667,1655
CMC2,769,310
AXIN1,2498,901
MLYCD,492,2634
MPG,628,528
NECAB2,18,9
HSDL1,1158,1467
TAF1C,1139,1228
NAGPA,448,502
WFDC1,437,111
SEC14L5,84,97
COTL1,16915,3397
